Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
YESBANK,EQ,13-Mar-19,235.85,236,247.6,232.7,244.25,244.3,242.07,"5,88,83,298","14,25,41,19,799.40","3,07,346","1,10,98,533",18.85
YESBANK,EQ,14-Mar-19,244.3,248,254,246.15,250.15,249.85,250.85,"5,96,84,202","14,97,17,75,478.60","3,30,601","1,05,93,357",17.75
YESBANK,EQ,15-Mar-19,249.85,251.7,252.8,243.5,245.05,245.05,247.39,"3,87,15,468","9,57,79,21,922.20","2,06,568","1,07,90,762",27.87
YESBANK,EQ,18-Mar-19,245.05,247,248.55,241.8,246.8,245.95,245.24,"2,48,25,632","6,08,82,15,385.80","1,37,716","47,52,203",19.14
YESBANK,EQ,19-Mar-19,245.95,246.65,250.5,245,249.35,248.8,248.34,"2,14,48,040","5,32,63,20,590.75","1,44,647","46,21,743",21.55
YESBANK,EQ,20-Mar-19,248.8,248.75,253,246.4,252.55,252.15,250.44,"2,68,17,389","6,71,62,03,895.80","1,52,824","69,60,671",25.96
YESBANK,BL,22-Mar-19,798.65,252.15,252.15,252.15,252.15,252.15,252.15,"9,45,027","23,82,88,558.05",1,"9,45,027",100
YESBANK,EQ,22-Mar-19,252.15,253,257.5,250.35,252.35,252.6,254.9,"3,40,18,752","8,67,12,91,256.25","2,17,734","74,01,451",21.76
YESBANK,EQ,25-Mar-19,252.6,250,250.4,246.1,247.4,247.25,247.98,"2,35,40,100","5,83,75,33,455.85","1,32,660","83,79,295",35.6
YESBANK,EQ,26-Mar-19,247.25,247.5,254.8,247.45,254.65,253.7,250.76,"2,05,71,726","5,15,86,25,314.95","1,37,338","58,34,953",28.36
YESBANK,EQ,27-Mar-19,253.7,258.4,269.85,256.1,268.6,268.45,264.48,"8,41,55,309","22,25,74,32,767.85","4,68,840","1,92,74,654",22.9
YESBANK,EQ,28-Mar-19,268.45,270.65,277.7,268.3,275.1,276.1,273.61,"4,80,78,072","13,15,48,08,424.95","2,79,312","1,44,20,171",29.99
YESBANK,EQ,29-Mar-19,276.1,277.9,281.5,273.55,274.5,275.1,278.23,"3,58,55,963","9,97,61,24,280.15","2,26,085","1,05,65,205",29.47
YESBANK,EQ,1-Apr-19,275.1,276,280,273.8,276.05,275.9,276.5,"2,78,07,546","7,68,88,33,851.65","2,12,387","65,96,267",23.72
